pendidikan,sektor,periode,gaji,pendidikan_encoded,"sektor_A Pertanian, Kehutanan dan Perikanan",sektor_B Pertambangan dan Penggalian,sektor_C Industri Pengolahan,sektor_D Pengadaan Listrik dan Gas,"sektor_E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",sektor_F Konstruksi,"sektor_G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",sektor_H Transportasi dan Pergudangan,sektor_I Penyediaan Akomodasi dan Makan Minum,sektor_J Informasi dan Komunikasi,sektor_K Jasa Keuangan dan Asuransi,sektor_L Real Estate,"sektor_M,N Jasa Perusahaan","sektor_O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",sektor_P Jasa Pendidikan,sektor_Q Jasa Kesehatan dan Kegiatan Sosial,"sektor_R,S,T,U Jasa Lainnya",sektor_Total,periode_encoded
Sekolah Menegah Pertama,Total,Februari,2194956.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
Sekolah Menegah Pertama,Total,Agustus,2379940.66,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
Sekolah Menengah Atas (Umum),"A Pertanian, Kehutanan dan Perikanan",Februari,2753212.49,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),"A Pertanian, Kehutanan dan Perikanan",Agustus,2878503.28,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),B Pertambangan dan Penggalian,Februari,5048125.99,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),B Pertambangan dan Penggalian,Agustus,5488291.43,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),C Industri Pengolahan,Februari,3225670.96,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),C Industri Pengolahan,Agustus,3381985.96,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),D Pengadaan Listrik dan Gas,Februari,3704714.97,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),D Pengadaan Listrik dan Gas,Agustus,3832961.01,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,2951532.24,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Agustus,3321295.82,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),F Konstruksi,Februari,3040422.34,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),F Konstruksi,Agustus,3279364.07,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Februari,2562454.73,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",Agustus,2810541.25,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),H Transportasi dan Pergudangan,Februari,3707055.66,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),H Transportasi dan Pergudangan,Agustus,3861445.99,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),I Penyediaan Akomodasi dan Makan Minum,Februari,2213045.41,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
Sekolah Menengah Atas (Umum),I Penyediaan Akomodasi dan Makan Minum,Agustus,2414398.78,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
Sekolah Menengah Atas (Umum),J Informasi dan Komunikasi,Februari,2567799.85,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
